FoodName,LinkDrive,TheDescription,YoutubeLink,Calories,Protein,Fats,Carbs
Rice crispy pork,https://drive.google.com/file/d/1SkhrvuVJHLcn5QU-mZoU_M1ZYWy6gJMu/view?usp=sharing,"Traditional Chinese pork fried rice is made of leftover rice, pork, scrambled egg, green onions (or scallions), and seasonings such as soy sauce, oyster sauce, and/or hoisin",https://www.youtube.com/watch?v=1b0mGtqrUuo,386,11,3,77
Rice with roast duck,https://drive.google.com/file/d/1QysucHjNLn4pe4hodBlOCBaUTknWhVhu/view?usp=sharing," is a Southeast Asian meat dish usually consumed by the Chinese diaspora in Maritime Southeast Asia, made of either braised or roasted duck and plain white rice",https://www.youtube.com/watch?v=dvZuhAbt9gE,223,19,9,46
Small steamed savory rice pancake,https://drive.google.com/file/d/1v-o7VyiHZUc4eGRB98YEW_7Eu9iGyDEU/view?usp=sharing,"With a few pantry ingredients like rice, flour, sugar, baking powder, applesauce, and butter you can whip up a tasty and quick-cooking breakfast that the entire family will enjoy! If you've got a few family members itching to help out, make these pancakes into an event and get everyone involved.",https://www.youtube.com/watch?v=_a1RPWRk1Zs,401,19,1,55
Sour prawn soup,https://drive.google.com/file/d/1xZLpQsEw-WmpHx4cB3x91O-HKZY04sR0/view?usp=sharing," is a Chinese soup that's savoury, spicy and tangy. The broth is thickened and it's filled with mushrooms, tofu, bamboo shoots and silky egg ribbons. The flavour and textures in this soup are an addictive combination, making it a firm Chinese restaurant favourite",https://www.youtube.com/watch?v=kiJEl9ycW8I,454,2,3,72
Steamed rice roll,https://drive.google.com/file/d/1MQ4v3sL3rOO4f9uBjAwdl8_KERokBS2v/view?usp=sharing,"Traditionally, steamed rice roll batter is made from ground aged rice, and they're typically steamed in a large stainless steel, multi-layered tray (see this video documenting the process from Joe's Steam Rice Roll in New York) or on a cloth",https://www.youtube.com/watch?v=oL6ny-08UAQ,402,4,7,46
Thai papaya salad,https://drive.google.com/file/d/1DaiONGpyk8jjlus5raHpNqYruperXAn0/view?usp=sharing,"The most well-known entry in this category is easily som tam Thai, the shredded green papaya salad found in central Thailand that has become synonymous with the term “som tam.” The salad combines crunchy strips of unripe green papaya with fresh chiles, pungent garlic, savory dried shrimp, roasted peanuts, long beans",https://www.youtube.com/watch?v=Wvv0dqZ_xa4,282,1,6,61
Vermicelli noodles with snails,https://drive.google.com/file/d/16KuSVROL1YFmECYHAxLEKO_1GTtOa9jl/view?usp=sharing,"Snail noodles are made from river snails and pork bones, which are stewed for hours with black cardamom, fennel seed, dried tangerine peel, cassia bark, cloves, white pepper, bay leaf, licorice root, sand ginger, and star anise",https://www.youtube.com/watch?v=STuUQbz51j4,498,16,2,53
Wonton soup,https://drive.google.com/file/d/1nuX5Lslf6oVtIdUCa_ERsdMNsZl0Wpuh/view?usp=sharing,"Wonton soup is a simple, light, Chinese classic with pork-filled dumplings in seasoned chicken broth. Whether in soup or fried, wontons always add delicious, hearty flavor to any dish",https://www.youtube.com/watch?v=cwLuQKSSRk0,231,11,6,70
adobo,https://drive.google.com/file/d/1_ltL0uNB0qHyxPyG5B5ejtxW6riIBW3g/view?usp=sharing,"The main ingredients of Philippine adobo are ingredients native to Southeast Asia, namely vinegar, soy sauce or fish sauce, peppercorns, garlic, and bay leaves. It does not traditionally use chilis, paprika, oregano, or tomatoes. Rather, adobo is characteristically salty and sour, and often sweet taste",https://www.youtube.com/watch?v=WloIceiE7GU,463,19,4,66
ayam bakar,https://drive.google.com/file/d/13pRjjpcgXOx6fti4OMoj_9XR7EagC2Hc/view?usp=sharing,"Ayam bakar is an Indonesian and Malay dish, consisting of charcoal-grilled chicken. Ayam bakar literally means ""grilled chicken"" in Indonesian and Malay",https://www.youtube.com/watch?v=b7ZYgfyFlh4,384,22,9,43
babi guling,https://drive.google.com/file/d/1xX2gM5bTscy1OWDtAzfsRVOK6dxb8QKi/view?usp=sharing,One of the most famous cultural dishes known in Bali is babi guling (spit roast pig). The pig is stuffed with base genep and slow-roasted on an open fire until the skin is crispy and the meat succulent,https://www.youtube.com/watch?v=Pg00dzZbrh4,359,12,9,75
bak kut teh,https://drive.google.com/file/d/17jTHvCp4HB0EE_4DgJSQfOSGwqDynf3E/view?usp=sharing,is a pork rib dish cooked in broth popularly served in Malaysia and Singapore where there is a predominant Hoklo and Teochew community.,https://www.youtube.com/watch?v=FlziVOmGIsg,327,6,3,32
baked salmon,https://drive.google.com/file/d/1hTCqjSv-xeBa04D_oC-2uLxmlPgkwu5-/view?usp=sharing,"Season salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salsa and squash, if desired",https://www.youtube.com/watch?v=2uYoqclu6so,443,19,10,61
ball shaped bun with pork,https://drive.google.com/file/d/1YqLTRkywyQfEZnMUVW5eWCwaniqv5ggx/view?usp=sharing,"is a Vietnamese bun based on the Cantonese tai pao or da bao (large bun), which was introduced to Vietnam by Chinese immigrants. It is a ball-shaped bun containing pork or chicken meat, onions, eggs, mushrooms and vegetables, in Vietnamese cuisine.",https://www.youtube.com/watch?v=FWb1-_Q3szo,463,19,4,59
bean curd family style,https://drive.google.com/file/d/1JSHUXyctMzX915iWknNPBXcalvxFZUix/view?usp=sharing,"Bean curd, also known as tofu, is made out of soybeans that have been soaked, ground, and pressed into a tender block of protein. Bean curd is nearly tasteless by itself, but it soaks up the flavors that it is cooked with to create tasty dishes that have a variety of textures",https://www.youtube.com/watch?v=MBfjNSKEGWs,361,23,10,43
beef curry,https://drive.google.com/file/d/1HeQLIkQFQ42epLslYqcyEk_pQ50Lasm3/view?usp=sharing,"is delicious Curry Recipe that uses beef as the main ingredient. If you liked our Chicken Curry recipe, this recipe is worth a try. This Beef Curry recipe will give you a great tasting dish with an inviting aroma. I am sure that you will enjoy this dish",https://www.youtube.com/watch?v=PUNBUT_28b4,248,12,10,30
beef in oyster sauce,https://drive.google.com/file/d/1A8tjCvdSRNFcKSrtBvR6ubOFKPMptvKs/view?usp=sharing, is a popular Chinese dish that features sliced beef stir-fried with oyster sauce and other ingredients. The dish typically includes vegetables and you can add those you like or are in season,https://www.youtube.com/watch?v=fSO83XlKcPI,396,21,6,44
bibimbap,https://drive.google.com/file/d/1DV8rRkqzOhdcLZqFQkGS1e4Ti9pDin5L/view?usp=sharing,"Bibimbap is one of the most well known Korean dishes. A rice bowl topped with all sorts of seasoned sautéed vegetables, marinated meat (usually beef), a fried egg sunny side up, finished with a sprinkle of sesame and generous dollop of a sweet-spicy-savoury Bibimbap sauce",https://www.youtube.com/watch?v=lqUtV6lT1n4,355,6,5,52
boned andsliced Hainan-style chicken with marinated rice,https://drive.google.com/file/d/1BBNPxYkFfb0mJmyEdUXzPAlT8BDcwR89/view?usp=sharing," is a dish of poached chicken and seasoned rice, served with chilli sauce and usually with cucumber garnishes. It was created by immigrants from Hainan in southern China and adapted from the Hainanese dish Wenchang chicken",https://www.youtube.com/watch?v=rkT33vqHmVg,256,15,4,71
braised pork meat ball with napa cabbage,https://drive.google.com/file/d/1ndES2x_EMsPp3iWhoDiDISWoyfwCy3lp/view?usp=sharing,"is a traditional Chinese braised meatball dish from Huaiyang cuisine (淮揚菜) with giant pork meatballs, sweet cabbage, and a delicious umami-rich savory broth",https://www.youtube.com/watch?v=4IPdz5lPdDo,249,5,3,33
brownie,https://drive.google.com/file/d/1oIZs1RpilGzWvGXcNQXJMSeNOIrvpC_z/view?usp=sharing,"a small, square chocolate cake that is soft in the middle, often with pieces of chocolate or nuts in it",https://www.youtube.com/watch?v=HIonKbKM-tE,229,8,8,61
charcoal-boiled pork neck,https://drive.google.com/file/d/1Zm7T5BHw1XcqYhhtz8uEW-UCvBlmCA68/view?usp=sharing,", is a Thai dish that originated in Isan, the northeastern part of Thailand. It's often made with pork neck, which is marinated with aromatic herbs, spices, and seasonings, and then traditionally grilled over charcoal. In Thai, moo means pork and yang translates to grilling.",https://www.youtube.com/watch?v=RXUiLUIhbgI,291,20,7,52
chicken-n-egg on rice,https://drive.google.com/file/d/1wX_EHIMbpzgnuYHeK7freFeRyVl31UxY/view?usp=sharing,"Yakitori. Perhaps the most famous chicken dish in Japan is yakitori, which is chicken grilled on a skewer. Yakitori is most commonly served by street food vendors, and thousands of stalls selling these skewers can be found in Japan",https://www.youtube.com/watch?v=ablGhWvIklw,350,9,6,37
chinese pumpkin pie,https://drive.google.com/file/d/1yJNK4zPBXLSXUPUCYUHoC2kuOMQMfJwR/view?usp=sharing,"Traditional Chinese Pumpkin Pies (Cakes) Make a Perfect Chinese Breakfast (and a Delicious Dessert too). To make the traditional Chinese breakfast of pumpkin cakes, you will need: 1/4 pumpkin, 2 tbsp sugar, 200g rice flour, red bean paste (optional), and white sesame seeds (optional)",https://www.youtube.com/watch?v=wvqgrDoNPa0,345,18,6,39
chow mein,https://drive.google.com/file/d/11yihqnz1sln3SJI46ubTo8xyGZxMF2sn/view?usp=sharing,"In American Chinese cuisine, it is a stir-fried dish consisting of noodles, meat (chicken being most common but pork, beef, shrimp or tofu sometimes being substituted), onions and celery. It is often served as a specific dish at westernized Chinese restaurants. Vegetarian or vegan chow mein is also common",https://www.youtube.com/watch?v=bRungB3F3Kw,453,8,8,25
coconut milk soup,https://drive.google.com/file/d/1k4YIW-IGp8n9qkFVIjfxZEEkx1xmqlzv/view?usp=sharing,"is a Thai soup prepared using coconut milk, chicken, mushrooms, chili peppers, galangal, lemongrass, and other ingredients. Tom yam kathi is a Thai coconut soup and a variant of tom yum prepared using coconut milk",https://www.youtube.com/watch?v=iEpd9kPrmow,498,23,5,29
croissant,https://drive.google.com/file/d/1KnRIvBVQkmQK7FmXYcSoeeWLoF9Y6_5f/view?usp=sharing,"is a buttery, crescent-shaped French pastry. Good croissants are light, flaky, and delicately sweet. Enjoy one with a cup of coffee — preferably while sitting in a charming Parisian cafe",https://www.youtube.com/watch?v=beOxJm1_tbk,224,17,6,26
crullers,https://drive.google.com/file/d/1gu5uc5VmK0m0Qi2oO1e7zTvlfgDH_aaT/view?usp=sharing,"Crullers are made from pâte à choux, the same dough used to make profiteroles, cream puffs, and éclairs. A basic choux recipe consists of just boiled water and butter mixed with flour and eggs",https://www.youtube.com/watch?v=dTkQgPvSsxE,318,21,5,55
curry puff,https://drive.google.com/file/d/1Rs8HGa3P8f2qgXJ70Bku71muHc1a6Xob/view?usp=sharing,s a snack of Southeast Asian origin. It is a small pie consisting of curry with chicken and potatoes in a deep-fried or baked pastry shell,https://www.youtube.com/watch?v=qpiFatzP21Y,404,1,3,68
eels on rice,https://drive.google.com/file/d/1CBoHmRSIv2KpmZ4OIdDHXHTEHNzdaTIM/view?usp=sharing,"Eel is a greasy fish, with varying textures though generally firm and sometimes delicate. The flavor will vary, depending on the type of eel. Freshwater eel has a rich taste, while saltwater eel is mild and sweet. Eel has a golden red color when cooked, over a cream colored middle",https://www.youtube.com/watch?v=3VS6fZIpmxs,429,16,5,67
eggplant with garlic sauce,https://drive.google.com/file/d/1BTBXMZlckSWju0kI1nJj9MNY6N8EIQe9/view?usp=sharing,"The eggplant is grilled until crispy and smoky, and then cooked in a rich savory garlic sauce. This vegan dish is very satisfying, both as a side or a main dish served over rice or noodles.",https://www.youtube.com/watch?v=V9Q1uPIJacc,476,2,9,35
eight treasure rice,https://drive.google.com/file/d/19D7iL5FuazWgFTDfvbE1FbICscCmixUj/view?usp=sharing,"is a traditional Lunar New Year dessert, very popular in both China and Taiwan. The name comes from the eight different kinds of dried fruits, such as raisins or candied winter melon, that are considered key ingredients",https://www.youtube.com/watch?v=WS-4_T90fyU,435,18,3,37
fried mussel pancakes,https://drive.google.com/file/d/1pZDnCjv4kizm-KCN_G7DLVHkvMWQVHxR/view?usp=sharing,"is a classic Thai dish with crispy fried batter mixed with fresh mussels or oysters, fried with egg, and served with bean sprouts. It's looks like a seafood pancake and is a popular street food option in Thailand",https://www.youtube.com/watch?v=cJu0iZKQLhs,449,13,3,49
hamburger,https://drive.google.com/file/d/1xJQrtrPTHqmzWCRxSyA0ZrMEg-EUxiSl/view?usp=sharing,"is a sandwich consisting of a cooked meat patty on a bun or roll. You can order a hamburger, fries, and a shake at most fast food restaurants. Hamburgers are traditionally made with ground beef and served with onions, tomatoes, lettuce, ketchup, and other garnishes.",https://www.youtube.com/watch?v=6LGh7p23_I4,323,24,9,67
haupia,https://drive.google.com/file/d/1A-XGeBs8b3TPkuzbWq5asjmhHi6PIE0h/view?usp=sharing,"Haupia is the Hawaiian name for a traditional coconut pudding found throughout Polynesia. Haupia. Alternative names, Rētiʻa, Vatia, Nanē Pia. Type, Pudding",https://www.youtube.com/watch?v=KKCn3n5zEJs,432,15,8,44
hot - sour soup,https://drive.google.com/file/d/1apXNjaLsOY5aUfDyjNOu9pTMmduJ68Ui/view?usp=sharing,"s a Chinese soup that's savoury, spicy and tangy. The broth is thickened and it's filled with mushrooms, tofu, bamboo shoots and silky egg ribbons. The flavour and textures in this soup are an addictive combination, making it a firm Chinese restaurant favourite!",https://www.youtube.com/watch?v=0WID6-hK0jo,306,25,7,57
hot and sour and fish and vegetable ragout,https://drive.google.com/file/d/1KzTIk0vO_ASXZC01ZWv_mCvMqxaE58r-/view?usp=sharing,"Bamboo shoot – fresh or in a can or chili oil. Water – Yes, you only need water, but feel free to use vegetable stock that is usually lighter than broth and has less celery taste. Seasoning – vinegar, Shaoxing wine, soy sauce, mushrooms seasoning, or vegetable bouillon",https://www.youtube.com/watch?v=uAKwD4fqIkQ,322,5,8,39
jambalaya,https://drive.google.com/file/d/1vWyWcsfMlDUvjmLVUUOcJ1Hlt2dJ2boZ/view?usp=sharing,"An easy Jambalaya recipe is pure comfort food filled to the brim with flavour. The aromatic trinity of Cajun/Creole cooking: onion, celery, and bell peppers ",https://www.youtube.com/watch?v=kgkWrC8jWiE,226,20,5,42
khao soi,https://drive.google.com/file/d/1e6z902rR1_6TIwJxaYTbADIFwMXkXhLR/view?usp=sharing,"is a Chin Haw dish served in Laos and northern Thailand. A comparable dish, ohn no khao swè, is widely served in Myanmar.",https://www.youtube.com/watch?v=3eOEqeff18U,427,20,10,71
kung pao chicken,https://drive.google.com/file/d/1Y7_BiP9ADojhz272hVAUIVhUgNi97y9f/view?usp=sharing,"is a popular Chinese restaurant dish of stir-fried chicken, peanuts and vegetables. It's traditionally made with specialty ingredients, like Sichuan peppercorns, Chinese black vinegar, Chinese rice wine, and whole dried red chilies.",https://www.youtube.com/watch?v=n4W2g_IUY3I,493,23,7,66
laulau,https://drive.google.com/file/d/1F2kuX1Cu4scKLdlmpo6EVj4R8Pw7mkm_/view?usp=sharing,"refers to the ti leaves that are traditionally used to wrap the food within it. Whole mature larger (and younger) taro leaves wrap around large cubes of pork shoulder or belly, beef, or chicken thighs. A piece of ""butterfish"" is traditionally added with the other meats as seasoning",https://www.youtube.com/watch?v=41Ho5vdZwNU,338,2,1,76
lemon fig jelly,https://drive.google.com/file/d/1EWklq6JV2g2hWeL3fdrTS3GJo-CQOCtx/view?usp=sharing,"Fresh figs with peel, sugar, and lemon juice (with no added pectin) simmer until they reach a gel stage. The result is a spreadable, sweet, and thickly textured jam that you can preserve and use throughout the next year or keep in the fridge to use right away. For best results, always have a candy thermometer on hand",https://www.youtube.com/watch?v=QQfPf-xLUHs,376,3,7,43
loco moco,https://drive.google.com/file/d/12p2e7ZT52VxkoUX0WbjXr2toqYCIzai9/view?usp=sharing,"is a dish featured in contemporary Hawaii cuisine. The traditional loco moco consists of white rice, topped with a hamburger patty and brown gravy",https://www.youtube.com/watch?v=20R0GTrAcPY,378,8,6,55
nasi goreng,https://drive.google.com/file/d/1OLnOpW7jqFmfrmLAt2vb22-UCi4tXUsu/view?usp=sharing,"traditional recipe for Nasi Goreng, Indonesian / Bali fried rice. Easy and fast to make, and no hunting down unusual ingredients!",https://www.youtube.com/watch?v=t0WoG8_TVl8,495,5,7,56
nasi uduk,https://drive.google.com/file/d/1SuJfUkPIo_GK3FNbAGaRl6aV_TF_NJBj/view?usp=sharing,"is an Indonesian-style steamed rice cooked in coconut milk dish, especially popular in Betawi cuisine.",https://www.youtube.com/watch?v=qYpPEU7ymio,421,1,4,68
noodles with fish curry,https://drive.google.com/file/d/1_F7sATglElnjAi4uBjyYGOe24Hqt2Xd_/view?usp=sharing,is composed of a distinctive curry sauce with fish spooned over thin rice noodles. The curry-coated noodles are then topped with a variety of fresh vegetables and herbs.,https://www.youtube.com/watch?v=BaOzMgmPAkQ,375,16,8,37
oxtail soup,https://drive.google.com/file/d/1By2jAwI8GU5aSRRfqZj17GHivBTiniup/view?usp=sharing,"is a soup made with beef tails. The use of the word ""ox"" in this context is a legacy of nomenclature; no specialized stock of beef animals",https://www.youtube.com/watch?v=kKaUr9HGZPw,325,6,5,34
pho,https://drive.google.com/file/d/1kBmqELuCh4wvWDLRUJ0m6_P1T4KQxtZY/view?usp=sharing,"is a Vietnamese dish of slow-simmered broth, typically prepared with beef bones, served with rice noodles, protein (such as beef, chicken or plant-based protein) and toppings. Pho is the national dish of Vietnam and a beloved comfort food that evokes nostalgia for many Vietnamese people",https://www.youtube.com/watch?v=6FAUmCnoinI,477,14,1,70
pilaf,https://drive.google.com/file/d/1mDL0QjIeavm3ESBFdwH_tZJi3IXwO8kg/view?usp=sharing,"is a rice dish, usually sautéed, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth",https://www.youtube.com/watch?v=Xcm_nlkIpas,225,16,5,42
pizza,https://drive.google.com/file/d/1esRS2H0CwvpGU5yrFIgDwZnA9UxLgReu/view?usp=sharing,"s a traditional Italian dish typically consisting of a flat base of leavened wheat-based dough topped with tomato, cheese, and other ingredients, baked at a high temperature, traditionally in a wood-fired oven",https://www.youtube.com/watch?v=tOkCgAwhh9U,370,10,7,39
pork cutlet on rice,https://drive.google.com/file/d/1NfcL7_oe971e7W-h_Ys95wDxvYQ4aYqQ/view?usp=sharing,"s a Japanese pork cutlet rice bowl made with tonkatsu, eggs, and sautéed onions simmered in a sweet and savory sauce. It's a one-bowl wonder and true comfort food! Donburi (or rice bowls) are one of the giants of Japanese cuisine.",https://www.youtube.com/watch?v=lfK15ESkoUU,344,24,9,52
pork satay,https://drive.google.com/file/d/1w3EXXvhC2N-irF1g69c_OUgmcxws1lfx/view?usp=sharing,small pieces of meat marinated and grilled on a skewer and served with a spicy sauce usually of peanuts,https://www.youtube.com/watch?v=bil2fAQ36dY,499,5,7,68
raisin bread,https://drive.google.com/file/d/1EmI6FCZYn_Wo-m4y9BO_9U-EonUGL4zK/view?usp=sharing,"is ""usually a white flour or egg dough bread"". Aside from white flour, raisin bread is also made with other flours, such as all-purpose flour, oat flour, or whole wheat flour. Some recipes include honey, brown sugar, eggs, or butter.",https://www.youtube.com/watch?v=EOWeN9hCXd4,229,24,4,54
ramen noodle,https://drive.google.com/file/d/1UPZgIK5vzaFxhNGlY2e5S2rfTeikRMI1/view?usp=sharing,"are commonly made from wheat flour, water, salt, and kansui, an alkaline mineral. Kansui gives noodles their elasticity and chewiness. It also gives ramen its yellow color. For this reason, ramen noodles may sometimes be thought to have egg as an ingredient, but they do not",https://www.youtube.com/watch?v=aafmrrx7Bh4,487,11,10,61
rice,https://drive.google.com/file/d/1zr91C8EdG3CwnoG34Tp-9q7eYDUs0u6X/view?usp=sharing,"s a cereal grain, and in its domesticated form is the staple food for over half of the world's human population, particularly in Asia and Africa. Rice is the seed of the grass species Oryza sativa (Asian rice) or, much less commonly, O. glaberrima (African rice)",https://www.youtube.com/watch?v=Uj44r_ygJJo,130,2.7,0.3,28
salt - pepper fried shrimp with shell,https://drive.google.com/file/d/1EzX4AcQepQV_FBSfDF6z-np8I7WqXS5F/view?usp=sharing,"Dredge shrimp in cornstarch and heat 2 cups of avocado oil to 375F. Fry shrimp in batches for 2 minutes until golden brown and shell is crisp. Set on a paper towel to drain and immediately season with a few pinches of spicy salt. Heat 1/2 tbsp of oil over high heat, then fry garlic and peppers for 1 minute",https://www.youtube.com/watch?v=eCA10Dwf48s,290,15,10,70
sandwiches,https://drive.google.com/file/d/1nYhl_ZwRV2n4P2UeUkrqCXQrI9HEWkF2/view?usp=sharing," is a dish typically consisting of vegetables, sliced cheese or meat, placed on or between slices of bread, or more generally any dish wherein bread serves as a container or wrapper for another food type",https://www.youtube.com/watch?v=qDSPDOe7LJg,394,16,8,52
soba noodle,https://drive.google.com/file/d/1ioCWooxiau52YbpGI-DQOPEHz2bgs7w1/view?usp=sharing,"s a variety of Japanese noodles made from buckwheat flour whose origins date back to the Middle Ages. “Soba is a powerful, high-vibration",https://www.youtube.com/watch?v=zBXCSq2O1e0,376,17,4,73
spam musubi,https://drive.google.com/file/d/1rxdKwP7Juz9Mr8EyC4iLLQYnPXUgnTjX/view?usp=sharing,"is a snack and lunch food composed of a slice of grilled Spam sandwiched either in between or on top of a block of rice, wrapped together with nori in the tradition of Japanese onigiri.",https://www.youtube.com/watch?v=EuqQfguh7R4,415,21,6,65
spicy chicken salad,https://drive.google.com/file/d/1Hd0oJrR171lfJF6sl7qRsYOL1_AL7qiv/view?usp=sharing,"A healthy and flavorful salad that's perfect for a light lunch or dinner. Tender chicken is seasoned with a spicy blend of spices, then served over a bed of greens and topped with a tangy dressing",https://www.youtube.com/watch?v=i-shBZgimrs,491,27,9,38
steamed spareribs,https://drive.google.com/file/d/1mJrPJl9azZ82lz7VfV9lHo3H3OUwppif/view?usp=sharing,"Small bite sized pieces of fatty pork rib, steamed in a black bean sauce until tender. The sauce is so light, simple, yet flavorful and showcases the pork rib. They don't typically serve steamed rice with dim sum but I always wished I had a bowl to go with the sauce.",https://www.youtube.com/watch?v=oqym4ADM_Io,239,14,14,0
stewed pork leg,https://drive.google.com/file/d/1tP6SI9-SWcn2Q5P7luZ2-M9j5d2ZU0tm/view?usp=sharing,"Khao kha mu is an individual dish consisting of stewed pig's trotter in seasoning condensed hot pottage (some recipes are mixed with cocoa powder or boiled peanuts), then it will be cut into thin slices and topped on steamed rice.",https://www.youtube.com/watch?v=E4HjiGqSieE,327,10,7,50
stinky tofu,https://drive.google.com/file/d/1TUMFpcPV0HKy_pBt_ly4GbA9dTkServX/view?usp=sharing," is a Chinese form of fermented tofu that has a strong odor. It is usually sold at night markets or roadside stands as a snack, or in lunch bars ...",https://www.youtube.com/watch?v=3Ruxsrs-uOg,218,4,6,57
stir-fried mixed vegetables,https://drive.google.com/file/d/1uD7hmpPKZzf0csK-nl2igPZCJ4NBlQBk/view?usp=sharing,Sauteed vegetables smothered in a quick sweet and savory sauce. This one-pan veggie stir fry is delicious served as a main course or side with Fluffy White Rice. A stir fry is a great option when you're in the mood for Asian food but don't want to order takeout.,https://www.youtube.com/watch?v=2D0-1KHSCYU,366,14,2,54
sushi,https://drive.google.com/file/d/1IMG8ozBgNAyfOEY5p1wAEM9bw6xmgFl6/view?usp=sharing,"is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood",https://www.youtube.com/watch?v=SiXTjqsIPs8,461,1,3,51
tempura bowl,https://drive.google.com/file/d/10YakKREXqzVb3_HwxvQefMqGAYyBazCW/view?usp=sharing,"a Japanese dish of seafood or vegetables dipped in batter and deep-fried, often at the table",https://www.youtube.com/watch?v=KyUYrvRXReU,459,6,5,32
tempura udon,https://drive.google.com/file/d/1hv7Uz4bn0QPkDNHVQxdjhiyM86S14uKg/view?usp=sharing,"is a popular Japanese noodle soup with thick wheat noodles. It is topped with crunchy prawn tempura, fish cake and chopped shallots/scallions. Dashi-based broth has saltiness and a hint of sweetness that goes so well with tempura.",https://www.youtube.com/watch?v=vFTC0ljKa3s,257,21,7,60
